Comuna,Clasificacion,Nombre,Ubicacion,Has.x.comuna,Observaciones,Otros
1,Cantero Central, Paseo De Los Inmigrantes,"DE LOS INMIGRANTES E/ ANTARTIDA ARGENTINA Av. Y EDISON, THOMAS ALVA",14300,NA,NA
1,Plazoleta, Paul Percy Harris,ESMERALDA - ARROYO,0.0160,NA,NA
1,Plazoleta,Prov de Buenos Aires,"BRASIL, AV. - HORNOS, GRAL. - IRIGOYEN, BERNARDO DE - CASEROS, AV.",0.4970,NA,NA
1,Plazoleta," Rgto. 1º de Infanteria ""P","CORDOBA, AV. - CALLAO, AV. - MONTEVIDEO",0.3580,NA,NA
1,Plazoleta,Ricardo Tanturi,"ROCA, JULIO A., PRES., AV. - PERU - ALSINA",0.0200,NA,NA
1,Plaza, Roberto Arlt,"ESMERALDA - RIVADAVIA, AV. - PROPIEDAD PARTICULAR",0.5920,NA,Puesta en valor 2017/2018
1,Plazoleta, Rodolfo Walsh,CHILE - PERU,0.0170,NA,NA
1,Plaza, Roma,"ALEM, LEANDRO N., AV. - TUCUMAN - BOUCHARD - LAVALLE",11730,NA,NA
1,Plaza, Rosario Vera Peñaloza,"SAN JUAN, AV. - PIEDRAS - CHACABUCO",0.8390,Colocacion bomba sumergible,NA
1,Plazoleta,Rosita Quiroga,"SAENZ PEÑA ROQUE, PRES., AV. - ESMERALDA - PERON, JUAN D., TTE. GRAL.",0.0080,NA,NA
1,Plazoleta," Rawson De Dellepiane, Elvira","RAWSON DE DELLEPIANE, ELVIRA",0.7680,NA,NA
1,Plazoleta, Paseo Colon 1401-1500,PASEO COLON 1401-1500,0.2000,NA,NA
1,Plazoleta, Salvador Maria Del Carril,"GILARDI, GILARDO - RAMOS MEJIA, JOSE M., DR., AV.- MARTINEZ ZUVIRIA, GUSTAVO, DR. - SAN MARTIN",0.5300,NA,NA
1,Plazoleta, San Nicolas,"CORRIENTES, AV. - RECONQUISTA - PROPIEDAD PARTICULAR",0.1910,NA,NA
1,Plazoleta, Tte. De Nav. Candido de L,"SANTA FE, AV. - MAIPU",0.0900,NA,NA
1,Cantero Central, Juana Manso 1300 - 1900,JUANA MANSO 1300 - 1900,0.4700,NA,NA
1,Plazoleta, Predio Terminal Retiro,TERMINAL OMNIBUS DE RETIRO,15000,NA,NA
1,Plazoleta, Predio Cochabamba 200,PREDIO COCHABAMBA AL 20,0.1400,NA,NA
1,Plaza,Gendarmeria Nacional,Av. Gendarmería Nacional - Av. Antártida Argentina,0.5900,NA,NA
1,Plazoleta, San Francisco,DEFENSA - ALSINA,0.0260,NA,NA
1,Plazoleta,Peru 400,Peru 400,0.6600,NA,Espacio nuevo
1,Plazoleta,Peru 500,Peru 500,0.0228,NA,Espacio nuevo
1,Plazoleta,C01- Peru 600,Peru 600,0.0300,NA,Espacio nuevo
1,Plazoleta, Constitucion 1100,Constitucion 1100,0.0507,NA,Espacio nuevo
1,Plazoleta,Boulevard Garay,Saenz Peña y AV.Garay,0.0176,NA,Espacio nuevo
1,Plazoleta, Cazoleta Garay,Filiberto y Garay,0.0192,NA,Espacio nuevo
1,Plazoleta,Florida y San Martin,Florida y San Martin,0.0103,NA,Espacio nuevo
